vendorProject,product,cwe_primary,year_added,month_added,ransomware_known,cluster,pc1,pc2
Cacti,Cacti,CWE-74,2023,2,0.0,1,1.1010252746422344,-0.6923451190044014
Microsoft,Exchange Server,CWE-918,2022,9,0.0,2,-0.8295514734290819,0.06002909649986016
Google,Chromium Intents,CWE-20,2021,11,0.0,2,-1.7981844593494472,-0.03599216232096525
Apple,OS X,CWE-254,2022,2,0.0,1,0.5533831736962104,-1.213225094857774
Trimble,Cityworks,CWE-502,2025,2,0.0,0,2.1718492491629737,0.3645951267178231
ChakraCore,ChakraCore scripting engine,CWE-843,2022,3,0.0,1,0.37091726496667904,-1.016589044594364
Oracle,Agile Product Lifecycle Management (PLM),CWE-502,2025,2,0.0,0,2.1697334781520023,0.35328688687965104
Red Hat,JBoss Application Server,CWE-502,2021,12,0.0,2,-1.9270190367923692,0.2531612507624419
Oracle,WebLogic Server,,2021,11,0.0,2,-1.7834091747005663,-0.05193623410699244
Oracle,Java SE,,2022,3,0.0,1,0.3220120522540247,-1.1117979836271636
Apple,Multiple Products,CWE-787,2023,12,0.0,2,-0.9051307585376874,1.2837790356472918
TP-Link,Archer AX21,CWE-77,2023,5,0.0,1,0.5184060750001827,-0.08951572845398537
Qualcomm,Multiple Chipsets,CWE-823,2023,12,0.0,2,-0.870125170443838,1.2946679097935183
Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",CWE-22,2021,11,0.0,2,-1.7508499315797899,0.055811236429168076
Microsoft,Windows,CWE-451,2024,9,0.0,0,0.24778200203945833,1.0786746433248178
VMware,"ESXi, Workstation, and Fusion",CWE-125,2025,3,0.0,0,1.971543146634637,0.5462210535266108
Google,Chromium V8,CWE-122,2021,11,0.0,2,-1.7609320358220426,0.05098195212766887
Adobe,Commerce and Magento Open Source,CWE-20,2022,2,0.0,1,0.5227159521197018,-1.3246854364499583
SolarWinds,Serv-U,CWE-787,2021,11,0.0,2,-1.7587123353231626,0.0378612156922139
Zoho,ManageEngine ServiceDesk Plus (SDP),CWE-306,2021,12,0.0,2,-1.941757030978637,0.25276353085179903
Microsoft,Win32k,CWE-787,2021,11,0.0,2,-1.779200259964143,-0.08553549059331189
Microsoft,MSHTML,CWE-77,2021,11,0.0,2,-1.7457120507065742,-0.0586638561545203
CrushFTP,CrushFTP,CWE-420,2025,7,0.0,0,1.187084083299786,1.3368721294192751
Oracle,Solaris and Zettabyte File System (ZFS),CWE-787,2021,11,0.0,2,-1.7584756995069823,0.02420843761360325
TeleMessage,TM SGNL,CWE-912,2025,5,0.0,0,1.5810190740170311,0.9456691936929287
CWP,Control Web Panel,CWE-78,2023,1,0.0,1,1.3035244773209773,-0.8841169108681448
Google,Chromium PopupBlocker,CWE-863,2022,6,0.0,1,-0.23273708397969678,-0.4140267768685556
Microsoft,WordPad,CWE-20,2023,10,0.0,2,-0.536164910140831,0.6980710845144289
Versa,Director,CWE-434,2024,8,0.0,0,0.4531937464077573,1.0092989903549743
Unraid,Unraid,,2021,11,0.0,2,-1.7848652469451332,-0.03841692467898172
Cisco,Adaptive Security Appliance (ASA),CWE-20,2021,11,0.0,2,-1.7778972089943665,-0.07195297858197902
GIGABYTE,Multiple Products,,2022,10,0.0,2,-1.0592631862745359,0.29828080662962053
Git,Git,CWE-59,2025,8,0.0,0,0.9898615889374764,1.523680450536249
Apple,"iOS, iPadOS, and macOS",CWE-843,2021,11,0.0,2,-1.7481988566097728,0.038804508399266746
Microsoft,SQL Server,CWE-502,2024,9,0.0,0,0.24668701664663917,1.1163699146661827
Rails,Ruby on Rails,CWE-22,2022,3,0.0,1,0.36247064909564386,-1.00017769811086
